@@,name,position
+++,Verónica Nataniel Macamo Dlhovo,Ministra dos Negócios Estrangeiros e Cooperação
+++,Nyeleti Brooke Mondlane,"Ministra do Género, Criança e Acção Social"
+++,Margarida Adamugy Talapa,"Ministra do Trabalho, Emprego e Segurança Social"
+++,João Osvaldo Machatine,"Ministro das Obras Públicas, Habitação e Recursos Hídricos"
+++,Janfar Abdulai,Ministro dos Transportes e Comunicações
+++,Ivete Maibase,Ministra da Terra e Ambiente
+++,Helena Mateus Kida,"Ministra da Justiça, Assuntos Constitucionais e Religiosos"
+++,FILIPE JACINTO NYUSI,Presidente da República
+++,Ernesto Max Elias Tonela,Ministro dos Recursos Minerais e Energia
+++,Eldevina Materula,Ministra da Cultura e Turismo
+++,Daniel Daniel Nivagara,"Ministro da Ciência, Tecnologia e Ensino Superior"
+++,Cristóvão Artur Chume,Ministro da Defesa Nacional
+++,Constantino Alberto Bacela,Ministro na Presidência para os Assuntos da Casa Civil
+++,Celso Ismael Correia,Ministro da Agricultura e Desenvolvimento Rural
+++,Carmelita Rita Namashulua,Ministra da Educação e Desenvolvimento Humano
+++,Carlos Jorge Siliya,Ministro dos Combatentes
+++,Carlos Alberto Fortes Mesquita,Ministro da Indústria e Comércio
+++,Carlos Agostinho do Rosário,Primeiro-Ministro
+++,Augusta de Fátima Charifo Maita,"Ministra do Mar, Águas Interiores e Pescas"
+++,Arsénia Felicidade Félix Massingue,Ministra do Interior
+++,Armindo Daniel Tiago,Ministro da Saúde
+++,Ana Comoana,Ministra da Administração Estatal e Função Pública
+++,Adriano Afonso Maleiane,Ministro de Economia e Finanças
