name,id,found,desc
Adelaide Anchia Amurane,Q19834060,Adelaide Amurane,
Adriano Afonso Maleiane,Q44275924,Adriano Maleiane,prime Minister of Mozambique
Agostinho Mondlane,Q18350460,Agostinho Mondlane,Mozambican politician and Minister of Defense
Alberto Mondlane,Q61000406,Alberto Ricardo Mondlane,Mozambican politician
Alberto Vaquina,Q34282,Alberto Vaquina,Mozambique politician
Alcinda Abreu,Q2832185,Alcinda Abreu,Mozambican politician
Antonio Hama Thai,Q5643918,Hama Thai,Mozambique military official and politician
Atanasio Salvador Ntumuke,Q19834890,Atanásio Mtumuke,Mozambican general and politician
Carlos Alberto Fortes Mesquita,Q105497841,Carlos Alberto Fortes Mesquita,Mozambican politician
Carlos Rosario,Q19057400,Carlos Agostinho do Rosário,Prime Minister of Mozambique (2015-present)
Carlos do Rosario,Q19057400,Carlos Agostinho do Rosário,Prime Minister of Mozambique (2015-present)
Carmelita Namashulua,Q19816448,Carmelita Namashulua,Mozambican teacher and politician (FRELIMO)
Carvalho Muaria,Q25428943,Carvalho Muária,Mozambican politician
Celso Ismael Correia,Q62274562,Celso Ismael Correia,Mozambique minister of the environment
Cidalia Chauque Oliveira,Q106307313,Cidália Chaúque Oliveira,
David Simango,Q5993938,David Simango,Mozambique politician
Eneias da Conceicao,Q10272837,Eneas Comiche,Mozambican politician and economist
Ernesto Max Elias Tonela,Q109950517,Ernesto Max Elias Tonela,politician in Mozambique
Esperanca Bias,Q5398931,Esperança Bias,Mozambican politician
Felicio Zacarias,Q97221887,Felício Pedro Zacarias,Mozambican politician
Filipe Jacinto Nyusi,Q5448556,Filipe Nyusi,Mozambican politician
Francisco Caetano Madeira,Q63507934,Francisco Madeira,Mozambican diplomat and politician
Francisco Songane,Q5483968,Francisco Songane,mozambiqu politician
Iolanda Cintura,Q26995850,Iolanda Cintura,Mozambican chemist and politician
Jaime Basilio Monteiro,Q20192117,Jaime Basílio Monteiro,Mozambican politician lawyer
Joaquim Alberto Chissano,Q208355,Joaquim Chissano,Mozambican politician
Joaquim Veríssimo,Q97285065,Joaquim Veríssimo,Mozambican politician
Jose Ibraimo Abudo,Q6292485,José Ibraimo Abudo,Mozambican politician
José Condungua Pacheco,Q6291941,José Condungua Pacheco,Mozambican politician (FRELIMO) and agro-economist
João Osvaldo Machatine,Q109950516,João Osvaldo Machatine,politician in Mozambique
Leonardo Simao,Q6526096,Leonardo Simão,Mozambican politician
Leticia Klemens,Q27431338,Letícia da Silva Klemens,Mozambican businesswoman and politician
Luisa Diogo,Q236020,Luísa Diogo,Mozambican politician
Lídia Brito,Q6543659,Lidia Brito,Mozambiquan forestry expert and engineer
Manuel Chang,Q88473923,Manuel Chang,
Maria Benvinda Levy,Q6761049,Maria Benvida Levy,Mozambican politician
Nazira Karimo Vali Abdula,Q19958795,Nazira Abdula,Mozambique pediatrist and politician
Nyeleti Brooke Mondlane,Q27220074,Nyeleti Mondlane,Mozambican politician and vice-minister for foreign affairs
Oldemiro Baloi,Q58223,Oldemiro Balói,Mozambican politician
Paulo Zucula,Q7155325,Paulo Zucula,Mozambican politician
Salvador Namburete,Q16733150,Salvador Namburete,Mozambican politician
Tobias Dai,Q7811637,Tobias Joaquim Dai,Mozambican politician
Victor Manuel Borges,Q97120054,Victor Manuel Borges,Mozambican politician
Vitoria Dias Diogo,Q20014463,Vitória Diogo,Mozambican linguist and politician
Vitoria Diogo,Q20014463,Vitória Diogo,Mozambican linguist and politician
