item,itemLabel,position,positionLabel,start,psid
Q105038571,Eldevina Materula,Q109949840,Minister of Culture and Tourism,2020-01-17,Q105038571-0B53B8B6-0B07-4618-8576-6B745579D466
Q105497841,Carlos Alberto Fortes Mesquita,Q109950077,Minister of Public Works,2022-03-13,Q105497841-19E6392D-D3DC-4B28-BEA2-75043DB74123
Q109950517,Ernesto Max Elias Tonela,Q98755316,Minister of Economy and Finances of Mozambique,2022-03-03,Q109950517-c1986bbe-446c-e242-d1ce-3c90540b7b54
Q109950524,Ivete Maibase,Q109950138,Minister of Land and Environment,2020-01-17,Q109950524-BEF9A118-19B9-46C5-9119-BFEEE5BDD5CB
Q109950528,Margarida Adamugy Talapa,Q109950203,Minister of Labour,2020-01-17,Q109950528-F76556DC-92D1-452D-9BB5-645EDAB87689
Q109950530,Helena Mateus Kida,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2020-01-17,Q109950530-29CF1B07-477C-4603-964D-81CEBEA757A3
Q109950683,Daniel Nivagara,Q109950672,"Minister of Science, Technology and Higher Education",2020-11-25,Q109950683-D46DD7B3-1E16-4A28-B055-C2ACBAF63A13
Q109950753,Constantino Bacela,Q109950728,Minister in the President’s Office,2021-11-15,Q109950753-AED70FB2-D2DA-42EE-9456-C17B354360A6
Q109950964,Janfar Abdulai,Q109950952,Minister of Transport and Communications,2020-01-17,Q109950964-04FF580A-8371-4450-B980-2C82CDB287D1
Q109951064,Cristóvão Artur Chume,Q98755271,Defence Minister of Mozambique,2020-11-15,Q109951064-86C34AD1-25F4-49DE-B01C-1DDEF83AB269
Q109951071,Arsénia Massingue,Q109951016,Minister of the Interior,2020-11-15,Q109951071-210C498D-5BEF-4AD1-950C-92AF4CBCF9CC
Q111745067,Lídia de Fátima da Graça Cardoso,Q109950316,"Minister of The Sea, Inland Waters and Fisheries",2022-03-09,Q111745067-DE17A6B8-B009-4891-88D4-74B0E1804857
Q111745069,Carlos Joaquim Zacarias,Q109950037,Minister of Mineral Resources and Energy,2022-03-03,Q111745069-9424AC2F-CB96-475A-9CF6-2BFDF6BDAB03
Q111745081,Silvino Augusto José Moreno,Q109949809,Minister of Industry and Trade,2022-03-13,Q111745081-A8D7C4DD-51F2-46F5-B4F0-12E328EECDA9
Q19816448,Carmelita Namashulua,Q109950218,Minister of Education and Human Development,2020-01-17,Q19816448-194B7ABB-1475-4C19-80FA-2FF584CE6217
Q27220074,Nyeleti Mondlane,Q109949882,"Minister of Gender, Children and Social Welfare",2020-01-23,Q27220074-05D5EBC3-C068-4999-8BE2-65DC7D3505C0
Q44275924,Adriano Maleiane,Q30100629,Prime Minister of Mozambique,2022-03-03,Q44275924-511C4C0C-E4CB-4349-9E5B-4CFA96E18E9D
Q5448556,Filipe Nyusi,Q18565665,President of Mozambique,2015-02-02,Q5448556-4c9038af-418a-ff76-8c95-deaf108145f8
Q62274562,Celso Ismael Correia,Q109950131,Minister of Agriculture and Rural Development,2020-01-17,Q62274562-48DB05A0-3F9D-46F0-BC5F-6748B7570B64
Q6722501,Verónica Macamo,Q18345272,Minister of Foreign Affairs,2020-01-17,Q6722501-234F8F91-761D-4E8E-A729-E08AEA002845
Q97061538,Ana Comoana,Q109950551,Minister of State Administration and Public Service,2020-01-22,Q97061538-DC4A7573-ADDF-484E-A28B-52F32CB5D682
Q97493215,Armindo Tiago,Q98966133,Minister of Health of Mozambique,2020-01-18,Q97493215-79E3370E-1ABD-4838-AE11-259C935A826E
